area_code,inflow,outflow,net,age_band,year
E06000046,545.0,454.0,91.0,0-15,2024
E06000047,3177.0,2255.0,922.0,0-15,2024
E06000049,2424.0,1545.0,879.0,0-15,2024
E06000050,1972.0,1577.0,395.0,0-15,2024
E06000051,2047.0,1345.0,702.0,0-15,2024
E06000052,2470.0,1559.0,911.0,0-15,2024
E06000053,28.0,36.0,-8.0,0-15,2024
E06000054,3626.0,2992.0,634.0,0-15,2024
E06000055,1639.0,1371.0,268.0,0-15,2024
E06000056,3364.0,2322.0,1042.0,0-15,2024
E06000057,1606.0,998.0,608.0,0-15,2024
E06000058,1909.6,2136.6,-227.0,0-15,2024
E06000059,2986.8,1752.8,1234.0,0-15,2024
E06000060,5181.4,3339.4,1842.0,0-15,2024
E06000061,2900.9,1636.9,1264.0,0-15,2024
E06000062,2589.3,2419.3,170.0,0-15,2024
E06000063,1025.2,574.2,451.0,0-15,2024
E06000064,984.7,702.7,282.0,0-15,2024
E06000065,4142.0,3013.0,1129.0,0-15,2024
E06000066,3205.2,2342.2,863.0,0-15,2024
E09000001,29.0,82.0,-53.0,0-15,2024
E09000002,4306.0,5060.0,-754.0,0-15,2024
E09000003,3937.0,4897.0,-960.0,0-15,2024
E09000004,3257.0,3230.0,27.0,0-15,2024
E09000005,3539.0,5532.0,-1993.0,0-15,2024
E09000006,3385.0,3532.0,-147.0,0-15,2024
E09000007,1250.0,2365.0,-1115.0,0-15,2024
E09000008,5093.0,6380.0,-1287.0,0-15,2024
E09000009,3423.0,5471.0,-2048.0,0-15,2024
E09000010,3848.0,4657.0,-809.0,0-15,2024
E09000011,2899.0,4804.0,-1905.0,0-15,2024
E09000012,1848.0,3493.0,-1645.0,0-15,2024
E09000013,1557.0,2332.0,-775.0,0-15,2024
E09000014,3156.0,4355.0,-1199.0,0-15,2024
E09000015,3198.0,4194.0,-996.0,0-15,2024
E09000016,3822.0,3092.0,730.0,0-15,2024
E09000017,3956.0,4935.0,-979.0,0-15,2024
E09000018,2831.0,4849.0,-2018.0,0-15,2024
E09000019,1136.0,2125.0,-989.0,0-15,2024
E09000020,1046.0,1864.0,-818.0,0-15,2024
E09000021,1695.0,1872.0,-177.0,0-15,2024
E09000022,2197.0,4211.0,-2014.0,0-15,2024
E09000023,2624.0,4486.0,-1862.0,0-15,2024
E09000024,2231.0,3451.0,-1220.0,0-15,2024
E09000025,3795.0,7511.0,-3716.0,0-15,2024
E09000026,4599.0,6537.0,-1938.0,0-15,2024
E09000027,1789.0,2151.0,-362.0,0-15,2024
E09000028,2174.0,4142.0,-1968.0,0-15,2024
E09000029,2442.0,2271.0,171.0,0-15,2024
E09000030,1704.0,3665.0,-1961.0,0-15,2024
E09000031,2721.0,4662.0,-1941.0,0-15,2024
E09000032,2350.0,4178.0,-1828.0,0-15,2024
E09000033,1427.0,2482.0,-1055.0,0-15,2024
E06000001,4543.0,3143.0,1400.0,All ages,2024
E06000002,7589.0,11072.0,-3483.0,All ages,2024
E06000003,5894.0,4869.0,1025.0,All ages,2024
E06000004,9525.0,8885.0,640.0,All ages,2024
E06000005,6066.0,5231.0,835.0,All ages,2024
E06000006,5332.0,5195.0,137.0,All ages,2024
E06000007,10171.0,9477.0,694.0,All ages,2024
E06000008,7885.0,7512.0,373.0,All ages,2024
E06000009,8214.0,8324.0,-110.0,All ages,2024
E06000010,11713.0,15373.0,-3660.0,All ages,2024
E06000011,19753.0,13815.0,5938.0,All ages,2024
E06000012,5562.0,4644.0,918.0,All ages,2024
E06000013,6603.0,5606.0,997.0,All ages,2024
E06000014,18492.0,19243.0,-751.0,All ages,2024
E06000015,14075.0,16983.0,-2908.0,All ages,2024
E06000016,22231.0,31536.0,-9305.0,All ages,2024
E06000017,2976.0,2638.0,338.0,All ages,2024
E06000018,36658.0,43812.0,-7154.0,All ages,2024
E06000019,8287.0,7135.0,1152.0,All ages,2024
E06000020,9933.0,8179.0,1754.0,All ages,2024
E06000021,13137.0,14182.0,-1045.0,All ages,2024
E06000022,19195.0,19231.0,-36.0,All ages,2024
E06000023,41305.0,44919.0,-3614.0,All ages,2024
E06000024,11620.0,9265.0,2355.0,All ages,2024
E06000025,20800.0,18339.0,2461.0,All ages,2024
E06000026,14026.0,15707.0,-1681.0,All ages,2024
E06000027,6856.0,6351.0,505.0,All ages,2024
E06000030,9566.0,9732.0,-166.0,All ages,2024
E06000031,11137.0,12117.0,-980.0,All ages,2024
