time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,pcon_code,pcon_name,phase_type_grouping,establishment_type,hospital_school,sen_provision,pupil_count
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded alternative provision,Total,Total,Total,72
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded alternative provision,Total,Total,"Education, health and care plan",2
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,40
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded nursery,Total,Total,Total,290
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded nursery,Total,Total,"Education, health and care plan",0
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,98
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded primary,Total,Total,Total,25357
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded primary,Total,Total,"Education, health and care plan",1143
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3416
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded secondary,Total,Total,Total,21602
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded secondary,Total,Total,"Education, health and care plan",610
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2321
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded special school,Total,Total,Total,971
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded special school,Total,Total,"Education, health and care plan",971
202526,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,0
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,Independent school,Total,Total,Total,4799
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,Independent school,Total,Total,"Education, health and care plan",395
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,739
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded alternative provision,Total,Total,Total,49
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded alternative provision,Total,Total,"Education, health and care plan",7
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,39
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded primary,Total,Total,Total,27314
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded primary,Total,Total,"Education, health and care plan",1409
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3548
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded secondary,Total,Total,Total,24379
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded secondary,Total,Total,"Education, health and care plan",854
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,3463
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded special school,Total,Total,Total,959
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded special school,Total,Total,"Education, health and care plan",959
202526,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,0
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,Independent school,Total,Total,Total,8734
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,Independent school,Total,Total,"Education, health and care plan",89
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,1350
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded alternative provision,Total,Total,Total,68
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded alternative provision,Total,Total,"Education, health and care plan",31
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,32
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded nursery,Total,Total,Total,105
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded nursery,Total,Total,"Education, health and care plan",0
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,31
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded primary,Total,Total,Total,9809
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded primary,Total,Total,"Education, health and care plan",452
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,1935
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded secondary,Total,Total,Total,9701
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded secondary,Total,Total,"Education, health and care plan",403
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,1481
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded special school,Total,Total,Total,388
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded special school,Total,Total,"Education, health and care plan",369
202526,Academic year,Local authority,E92000001,England,London,E12000007,202,Camden,E09000007,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,8
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,Independent school,Total,Total,Total,6866
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,Independent school,Total,Total,"Education, health and care plan",509
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,1652
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded alternative provision,Total,Total,Total,66
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded alternative provision,Total,Total,"Education, health and care plan",7
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,58
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded nursery,Total,Total,Total,415
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded nursery,Total,Total,"Education, health and care plan",7
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,68
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded primary,Total,Total,Total,31654
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded primary,Total,Total,"Education, health and care plan",1290
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,4491
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded secondary,Total,Total,Total,22816
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded secondary,Total,Total,"Education, health and care plan",779
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,3733
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded special school,Total,Total,Total,1372
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded special school,Total,Total,"Education, health and care plan",1359
202526,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,13
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,Independent school,Total,Total,Total,3671
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,Independent school,Total,Total,"Education, health and care plan",403
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,300
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded alternative provision,Total,Total,Total,61
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded alternative provision,Total,Total,"Education, health and care plan",14
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,47
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded nursery,Total,Total,Total,475
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded nursery,Total,Total,"Education, health and care plan",7
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,70
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded primary,Total,Total,Total,28847
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded primary,Total,Total,"Education, health and care plan",1361
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3681
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded secondary,Total,Total,Total,23579
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded secondary,Total,Total,"Education, health and care plan",847
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2163
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded special school,Total,Total,Total,1071
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded special school,Total,Total,"Education, health and care plan",1058
202526,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,13
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,Independent school,Total,Total,Total,1486
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,Independent school,Total,Total,"Education, health and care plan",200
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,109
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded alternative provision,Total,Total,Total,39
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded alternative provision,Total,Total,"Education, health and care plan",5
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,19
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded primary,Total,Total,Total,27816
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded primary,Total,Total,"Education, health and care plan",1419
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3951
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded secondary,Total,Total,Total,24563
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded secondary,Total,Total,"Education, health and care plan",882
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2815
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded special school,Total,Total,Total,1305
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded special school,Total,Total,"Education, health and care plan",1300
202526,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,5
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,Independent school,Total,Total,Total,3567
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,Independent school,Total,Total,"Education, health and care plan",345
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,784
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded alternative provision,Total,Total,Total,207
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded alternative provision,Total,Total,"Education, health and care plan",85
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,121
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded nursery,Total,Total,Total,510
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded nursery,Total,Total,"Education, health and care plan",5
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,129
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded primary,Total,Total,Total,23001
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded primary,Total,Total,"Education, health and care plan",1120
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,4271
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded secondary,Total,Total,Total,18895
202526,Academic year,Local authority,E92000001,England,London,E12000007,203,Greenwich,E09000011,,,State-funded secondary,Total,Total,"Education, health and care plan",761
